Category,Order Date,Sales
Bakery,03-01-2015,864
Bakery,04-01-2015,2033
Beverages,04-01-2015,698
Snacks,04-01-2015,759
"Eggs, Meat & Fish",05-01-2015,878
Oil & Masala,06-01-2015,1113
Snacks,06-01-2015,1495
"Eggs, Meat & Fish",06-01-2015,1258
Snacks,06-01-2015,1504
Oil & Masala,06-01-2015,2259
Fruits & Veggies,06-01-2015,2201
Food Grains,06-01-2015,1243
Oil & Masala,06-01-2015,796
Snacks,06-01-2015,2157
"Eggs, Meat & Fish",07-01-2015,1936
Bakery,07-01-2015,1280
Food Grains,09-01-2015,2409
Oil & Masala,09-01-2015,1432
"Eggs, Meat & Fish",10-01-2015,1330
"Eggs, Meat & Fish",10-01-2015,1066
Fruits & Veggies,11-01-2015,2019
Oil & Masala,13-01-2015,1767
Food Grains,13-01-2015,610
Bakery,13-01-2015,1073
Beverages,13-01-2015,2239
Beverages,13-01-2015,1520
Oil & Masala,13-01-2015,1594
Food Grains,13-01-2015,1497
Beverages,13-01-2015,1401
Food Grains,13-01-2015,1367
"Eggs, Meat & Fish",13-01-2015,1949
Snacks,13-01-2015,1903
Food Grains,14-01-2015,1715
Bakery,15-01-2015,1883
Beverages,16-01-2015,990
Food Grains,16-01-2015,1398
"Eggs, Meat & Fish",16-01-2015,1169
Oil & Masala,16-01-2015,2152
Food Grains,18-01-2015,1353
Fruits & Veggies,19-01-2015,513
Beverages,19-01-2015,743
Bakery,19-01-2015,2205
Snacks,19-01-2015,1064
Bakery,20-01-2015,1973
Oil & Masala,20-01-2015,2054
"Eggs, Meat & Fish",20-01-2015,1100
"Eggs, Meat & Fish",20-01-2015,2126
Bakery,20-01-2015,2350
Oil & Masala,20-01-2015,1148
Fruits & Veggies,20-01-2015,1629
Bakery,20-01-2015,1840
Fruits & Veggies,20-01-2015,2294
Fruits & Veggies,20-01-2015,1272
Beverages,20-01-2015,1785
Beverages,20-01-2015,603
Bakery,20-01-2015,767
Oil & Masala,20-01-2015,1813
